12.09.2018;12.09.2018;12.09.2018;12.09.2018;12.10.2018;12.10.2018;12.10.2018;12.10.2018;12.11.2018;12.11.2018;12.11.2018;12.11.2018;12.12.2018;12.12.2018;12.12.2018;12.12.2018
<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
105340;105340;105270;105280;114150;114190;114130;114150;112330;112370;112290;112350;112300;112310;112260;112260
105270;105290;105250;105280;114130;114160;114080;114100;112330;112340;112270;112320;112260;112290;112090;112090
105270;105290;105230;105230;114100;114150;114080;114120;112310;112340;112310;112330;112090;112110;112040;112050
105260;105280;105260;105280;114110;114160;114110;114110;112330;112370;112310;112360;112050;112070;111960;111960
105290;105290;105260;105260;114100;114200;114100;114180;112370;112370;112300;112340;111960;111990;111940;111950
105280;105280;105260;105270;114180;114330;114120;114250;112320;112390;112310;112390;111960;112000;111950;111980
105280;105300;105280;105300;114270;114290;114210;114210;112380;112490;112370;112420;111970;111990;111950;111960
105280;105290;105280;105290;114210;114260;114130;114170;112420;112460;112400;112420;111960;111960;111820;111860
105290;105290;105240;105260;114170;114290;114170;114290;112410;112430;112370;112390;111850;111880;111800;111880
105240;105250;105230;105250;114300;114420;114300;114340;112390;112420;112380;112420;111870;112010;111860;111990
105260;105300;105260;105290;114350;114400;114320;114320;112420;112490;112420;112470;112010;112050;111980;112030
105310;105350;105310;105340;114320;114420;114290;114310;112480;112580;112460;112510;112030;112070;112020;112070
105320;105320;105320;105320;114330;114330;114270;114280;112510;112520;112470;112470;112070;112140;112060;112090
105330;105330;105320;105320;114300;114310;114270;114290;112480;112530;112480;112490;112090;112140;112080;112100
105320;105340;105320;105340;114290;114300;114230;114250;112500;112510;112430;112430;112110;112140;112070;112070
105370;105380;105350;105350;114250;114320;114250;114300;112430;112450;112330;112350;112080;112080;111990;112010
105320;105320;105320;105320;114310;114360;114280;114330;112350;112480;112350;112450;112000;112090;111990;112060
105300;105330;105300;105320;114330;114330;114250;114260;112450;112460;112390;112390;112070;112070;112030;112030
105350;105350;105340;105340;114260;114310;114240;114250;112390;112540;112380;112520;112040;112070;112020;112030
105320;105320;105300;105300;114260;114290;114230;114240;112520;112550;112480;112510;112040;112040;111920;111960
105310;105310;105290;105290;114250;114290;114230;114240;112510;112560;112470;112470;111960;112010;111930;111940
